23-Mar-2000 15:34:45
curStair	trial	adjustValue(test.contrast)	correct	altValue(testPosition)	
1	1	1.0000	1	R	
1	2	1.0000	1	L	
1	3	1.0000	1	R	
1	4	0.5012	0	R	
1	5	1.0000	1	R	
1	6	1.0000	1	L	
1	7	1.0000	1	L	
1	8	0.5012	1	R	
1	9	0.5012	1	R	
1	10	0.5012	1	L	
1	11	0.3162	1	R	
1	12	0.3162	1	L	
1	13	0.3162	1	R	
1	14	0.1995	1	L	
1	15	0.1995	1	R	
1	16	0.1995	1	L	
1	17	0.1259	1	L	
1	18	0.1259	1	L	
1	19	0.1259	1	R	
1	20	0.0794	1	R	
1	21	0.0794	1	R	
1	22	0.0794	1	R	
1	23	0.0501	1	L	
1	24	0.0501	1	L	
1	25	0.0501	1	R	
1	26	0.0316	1	L	
1	27	0.0316	1	R	
1	28	0.0316	1	L	
1	29	0.0200	1	L	
1	30	0.0200	1	R	
1	31	0.0200	1	R	
1	32	0.0126	0	R	
1	33	0.0200	0	L	
1	34	0.0251	0	R	
1	35	0.0316	0	L	
1	36	0.0398	0	L	
1	37	0.0501	0	L	
1	38	0.0631	0	R	
1	39	0.0794	0	L	
1	40	0.1000	0	L	
1	41	0.1259	0	L	
1	42	0.1585	0	L	
1	43	0.1995	0	R	
1	44	0.2512	0	R	
1	45	0.3162	0	L	
1	46	0.3981	0	R	
1	47	0.5012	0	L	
1	48	0.6310	0	L	
1	49	0.7943	0	R	
1	50	1.0000	0	L	
1	51	1.0000	0	L	
1	52	1.0000	0	R	
1	53	1.0000	0	L	
1	54	1.0000	0	R	
1	55	1.0000	0	R	
